id;Source;url;nom;adresse;email;Type;latitude;longitude;insee_com;libgeo;dep;reg;epci;ze2010;lib_epci;lib_dep;lib_reg
330;unapl;;UNAPL HÉRAULT ;19 route de Montpellier 34790 GRABELS;eric-balandraud@orange.fr;;43,646764;3,807371;34116;Grabels;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
347;Fablab;https://www.labsud.org/le-lab/qui-sommes-nous/;Lab Sud;120 allÚe John Napier, 34000 Montpellier;batto@labsud.org;fabrication numÚrique;43,615571;3,909795;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
348;Fablab;http://lebib.org;Le BIB;AFK, 7 rue Francois PÚrier, 34000 Montpellier;contact@lebib.org;fabrication numÚrique;43,613385;3,902893;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
379;Fablab;http://www.montpellier.archi.fr/ressources-et-edition/labora;La Fabrique ENSAM;Ecole nationale sup. d'architecture, 179 rue de l'Esperou, 34090 Montpellier;lafabrique@montpellier.archi.fr;fabrication numÚrique, art, design, architecture;43,636968;3,856457;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
407;Entreprendre Occitanie;www.laregion-realis.fr;Pôle REALIS;710 rue Favre de Saint Castor 34080 MONTPELLIER;realis@laregion.fr;'Création d'entrepriseProjet innovant / fort potentielEconomie sociale et solidaireProjet coopératif (création ou reprise d'entreprise);43,619814;3,823493;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
420;Entreprendre Occitanie;Pas de web;RESEAU ENTREPRENDRE LANGUEDOC-ROUSSILLON;199 RUE HELENE BOUCHER 34170 CASTELNAU LE LEZ;languedoc-oussillon@reseau-entreprendre.org;'Création d'entrepriseTransmission / reprise d'entrepriseProjet innovant / fort potentiel;43,623541;3,913077;34057;Castelnau-le-Lez;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
440;Entreprendre Occitanie;contextart.org/;CONTEXT'ART;3 rue Pagézy 34000 MONTPELLIER;contact@contextart.org;'Création d'entreprise;43,604895;3,879177;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
525;Jeunes;http://www.pepite-lr.fr/;PEPITE LR;163 Rue Auguste Broussonnet34090Montpellier;contact@pepite-lr.fr;;43,615838;3,872043;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
534;CRITT;https://www.montpellier-supagro.fr/innovations-expertises-partenariats/innovations-entrepreunariat/agro-valo-mediterranee-0;Agro Valo Méditerranée;"2 place Pierre Viala
34060 Montpellier. France";agrovalo@supagro.inra.fr;;43,617144;3,854763;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
535;CRITT;http://www2.agroparistech.fr/Centre-de-Montpellier-734.html;AgroParisTech - centre de Montpellier;"Campus d’Agropolis International
648 rue Jean-François Breton
BP 44494
34093 Montpellier cedex 5";pierre-yves.colin@agroparistech.fr;;43,646665;3,877307;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
536;CRITT;http://www.brgm.fr/regions/reseau-regional/occitanie;BRGM - Direction régionale Occitanie;"1039 rue de Pinville
34000 Montpellier";a.blum@brgm.fr;;43,616889;3,902887;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
538;CRITT;http://www.iamm.ciheam.org/;CIHEAM IAM Montpellier;"3191 route de Mende
34093 Montpellier cedex 5";pascal.bergeret@iamm.fr;;43,64796;3,864155;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
539;CRITT;https://www.cirad.fr;Cirad;"Délégation à la valorisation
Direction de la recherche et de la stratégie
Avenue Agropolis, 34398 Montpellier Cedex 5
France";valo-cirad@cirad.fr;;43,645493;3,86844;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
540;CRITT;http://www.inra-transfert.fr/fr/inra-transfert/implantation-contacts;INRA Transfert;"Centre INRA de Montpellier
2 Place Pierre Viala
Bât.1
34060 MONTPELLIER";montpellier@inra-transfert.fr;;43,617144;3,854763;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
542;CRITT;https://www.inserm-transfert.fr/contactez-nous/;INSERM Transfert;"Inserm Transfert (Montpellier)
60 rue Navacelles
34394 Montpellier cedex 5";armelle.bonet-kerrache@inserm.fr;;43,635739;3,845429;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
544;CRITT;https://occitanie.ird.fr/les-partenariats/presentation;IRD;"IRD - Délégation régionale Occitanie
  911, avenue Agropolis
 BP 64501
 F-34394 Montpellier cedex 5";montpellier@ird.fr;;43,645493;3,86844;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
545;CRITT;http://www.irstea.fr/minea;IRSTEA - Minéa;"
Centre de Montpellier
Tel: +33 (0)4 67 04 63 00
361 rue J.F. Breton
BP 5095
34196 Montpellier Cedex 5";christophe.guizard@irstea.fr;;43,645257;3,874608;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
546;CRITT;https://www.umontpellier.fr/universite/directions/direction-de-linnovation-et-des-partenariats;UM;"Direction de l’Innovation et des Partenariats
Campus Triolet
Place Eugène Bataillon – Cc 07003
34095 Montpellier Cedex 5";dipa-secretariat@umontpellier.fr;;43,631344;3,861079;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
549;CRITT;https://www.univ-montp3.fr/;Université Paul Valéry;"Route de Mende 
34199 Montpellier Cedex 5";sabine.cotreaux@univ-montp3.fr;;43,637282;3,866668;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
550;CRITT;http://www.alterincub.coop/;ALTER'INCUB;"Union Régionale des Scop LR
Hôtel de la coopération
34070 Montpellier ";fbellaredj@scop.coop;;43,579735;3,868935;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
551;CRITT;http://www.axlr.com/;AXLR;"950, rue Saint-Priest

CSU – Bâtiment 6
34090 Montpellier";contact@axlr.com;;43,634878;3,841497;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
561;CIVAM;http://www.civam-lr.fr;FRCIVAM OCCITANIE;La maison des agriculteurs - Bat B - Mas de Saporta CS 5002334875 LATTES Cedex;accueil.frcivamlr@gmail.com;;43,56258;3,950392;34198;Pérols;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
575;CIVAM;http//www.civamagrobio34.asso.fr;CIVAM BIO 34;Maison des agriculteurs  - Bat B - Mas de Saporta CS 5002334875 LATTES Cedex;contact@bio34.com;;43,582276;3,891411;34129;Lattes;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
576;CIVAM;http://www.civamracines34.fr/;CIVAM RACINES 34;Maison des agriculteurs  - Bat B - Mas de Saporta34875 LATTES Cedex;accueil.frcivamlr@gmail.com ;;43,56258;3,950392;34198;Pérols;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
583;Centres de ressources divers;https://www.franceactive.org/nous-contacter/;France Active AIRDIE-Occitanie;"
1350 avenue Albert Einstein - Immeuble le Phénix
34000 - MONTPELLIER";contact34@airdie.org;;43,610191;3,913547;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
592;Centres de ressources divers;www.transferts-lr.org;Transferts Languedoc-Roussillon;"Agence Régionale AD'OCC (Transferts) 
Immeuble le Triade 1
215 Rue Samuel MORSE
34000 Montpellier";Contact :avila@transferts-lr.org;;43,606797;3,915653;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
597;Centres de ressources divers;http://www.retis-innovation.fr/RETIS-c-est-quoi/Annuaire-des-membres;MONTPELLIER MEDITERRANEE TECHNOPOLE;"50, place Zeus
34960 MONTPELLIER";contact@entreprendre-montpellier.com;;43,607913;3,890774;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
603;Centres de ressources divers;https://www.reseau-entreprendre.org/occitanie-mediterranee;RESEAU ENTREPRENDRE OCCITANIE-MEDITERRANEE;"Parc Mermoz « Le Millénaire »,

199 Rue Helene Boucher,

34170 Castelnau-le-Lez";occitanie-mediterranee@reseau-entreprendre.org.;;43,623541;3,913077;34057;Castelnau-le-Lez;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
606;BPI;https://www.bpifrance.fr/Contactez-nous/Direction-regionale-Montpellier;"Bpifrance Occitanie
Direction régionale Montpellier ";"Arche Jacques Cœur 222
place Ernest Granier - CS 89015 
34967 Montpellier Cedex 2";nadine.faedo@bpifrance.fr;;43,60161;3,900768;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
608;AVISE;https://www.avise.org/annuaire-des-dispositifs/arts-de-la-scene-aide-aux-residences-association;Arts de la scène - Aide aux résidences - association;Montpellier;spectaclevivant@laregion.fr;;43,611024;3,875521;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
610;AVISE;http://www.coventis.org/contact/;COVENTIS; 1047 avenue Villeneuve d’Angoulême 34000 Montpellier;coventis@cressoccitanie.org;;43,592033;3,866725;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
612;Agri PAI;www.pointinfo34.com;PAI de l'Hérault;Maison des Agriculteurs, Mas de Saporta, CS 60015 34875 LATTES Cedex;info_installation34@saporta.net;;43,582276;3,891411;34129;Lattes;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
628;ACI;http://efficient-innovation.com/fr/contactez-nous;EFFICIENT-INNOVATION;"55 avenue Clément Ader

34170 Castelnau Le Lez";montpellier@efficient-innovation.com;;43,627585;3,912411;34057;Castelnau-le-Lez;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
629;ACI;http://www.inextenso-innovation.fr/a-propos/contact/;IN EXTENSO INNOVATION CROISSANCE;"Immeuble Lattitude
770 rue Alfred Sauvy
34470 Pérols";patricia.braun@inextenso.fr;;43,578888;3,938797;34198;Pérols;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
631;ACI;http://www.inovafi.com/equipe/;INOVAFI;"35 avenue de la liberté
34500 Montpellier";contact@inovafi.com;;43,608627;3,849942;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
637;ACI;www.myriagone-conseil.fr;MYRIAGONE CONSEIL;"Parc d’activités de l’aéroport de Montpellier 
145 rue Jérémy Bentham - 34470 Pérols ";"
contact@myriagone-conseil.fr";;43,580344;3,936599;34198;Pérols;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
641;Accélérateurs;https://wesprint.com/nous-contacter/;WeSprint Montpellier;"Cap Oméga
Rond-Point Benjamin Franklin, 34000 Montpellier";pierre.t@wesprint.fr;;43,619017;3,913261;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
644;Accélérateurs;https://startupnursery.io/;Startup Nursery;"ROND POINT BENJAMIN FRANKLIN
34000 Montpellier";contact@startupnursery.io;;43,619017;3,913261;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
650;APP;www.axents.fr/;AXENTS;"126 square de corté, bât 7, Esc. 57
34080 Montpellier";contact@axents.fr;;43,626235;3,814409;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
653;APP;http://carriereformationconseil.fr/;CARRIERE FORMATION CONSEIL;455 Rue de l'Industrie, 34070 Montpellier;cfc.perpignan@orange.fr;;43,586612;3,885445;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
657;APP;http://ccem.strikingly.com/;CCEM CARRE CREATION ENTREPRISES MONTPELLIER;17 rue du Professeur Jean GRANIER, 34070 MONTPELLIER;contact@ccem.fr;;43,59766;3,867238;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
658;APP;https://www.cpmeoccitanie.fr/;CPME OCCITANIE;Rue George Clos Saint Guy 00, 34090 Montpellier;contact@cpmeoccitanie.fr;;43,636889;3,837195;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
659;APP;http://www.crealead.com;Crealead; 55 Rue Saint-Cléophas, 34070 Montpellier;contact@crealead.com;;43,59684;3,872785;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
662;APP;http://www.cma-languedocroussillon.fr/;Chambre régionale de métiers et de l’artisanat Occitanie / Pyrénées-Méditerranée (ex LR);65, avenue Clément Ader - CS 60006 - 34173 Castelnau-le-Lez Cedex;crma@cma-languedocroussillon.fr;;43,62685;3,912395;34057;Castelnau-le-Lez;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
664;APP;https://la-ruche.net/;La Ruche;10 Rue Marceau, 34000 Montpellier;montpellier@la-ruche.net;;43,60774;3,873006;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
665;APP;http://www.occitanie.ffbatiment.fr/;Fédération Française du Bâtiment Occitanie; 359 Avenue des Prés d'Arènes, 34070 Montpellier;morins@occitanie.ffbatiment.fr;;43,59328;3,879594;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
672;APP;http://leolagrange-mediterranee.org;Léo Lagrange Méditerranée;"Délégation régionale Languedoc-Roussillon
Résidence Lemasson
504 Boulevard Pedro de Luna
34070 Montpellier";directiongenerale@leolagrange.org;;43,593553;3,87335;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
677;APP;https://www.terracoopa.net;TERRACOPPA;"Pôle REALIS
710, rue Favre de St Castor 
34080 MONTPELLIER ";contact@terracoopa.com;;43,619814;3,823493;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
692;AGIRabcd;http://www.agirabcd.eu;AGIRabcd;"Espace Martin Luther King
27, Boulevard Louis Blanc
34000 MONTPELLIER";agirabcd.herault34@sfr.fr;;43,614525;3,880182;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
714;Fichier ESS;;AD'OCC;"1350 av Albert Einstein
Immeuble le Phénix - Bât. 9 Zone du Millénaire  34000 MONTPELLIER";christelle.igual@synersud.com;;43,610191;3,913547;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
715;Fichier ESS;;AD'OCC;954 av Jean Mermoz   34000 MONTPELLIER;direction@transferts-lr.org;;43,609874;3,892418;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
717;Fichier ESS;;Alter Incub;"Hôtel de la coopération
 55 rue Saint Cléophas  34070 MONTPELLIER";fbellaredj@scop.coop;;43,59684;3,872785;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
718;Fichier ESS;;ASSOCIATION LEADER;710 rue Favre de Saint Castor   34080 MONTPELLIER;leader@leader-lrmp.fr;;43,619814;3,823493;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
730;Fichier ESS;;Caisse Des Dépôts;181 place Ernest Granier Immeuble Oz’One  34965 MONTPELLIER;christine.pujol@caissedesdepots.fr;;43,601995;3,901517;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
731;Fichier ESS;;CAP OCCITANIE;710 rue Favre de Saint Castor  CS17406 34184 MONTPELLIER ;president@cap-occitanie.fr;;43,619814;3,823493;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
733;Fichier ESS;;CCIR;99 impasse Adam Smith   34470 PEROLS;crci@languedoc-roussillon.cci.fr;;43,579993;3,93951;34198;Pérols;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
751;Fichier ESS;;CRAJEP Occitanie;MIN 281 av du Marché Gare  34070 MONTPELLIER;fmoreaux@cemea-occitanie.org;;43,585855;3,880034;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
756;Fichier ESS;;CRÉDIT COOPÉRATIF;"8 boulevard Victor Hugo
34000 Montpellier cedex 1";victor.obadia@credit-cooperatif.coop;;43,606536;3,877996;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
758;Fichier ESS;;CRESS OCCITANIE;Immeuble Richemont 1047 avenue Villeneuve d'Angoulême  34070 MONTPELLLIER;muriel.boudou@cressoccitanie.org;;43,592033;3,866725;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
759;Fichier ESS;;FACE HERAULT;8 bd Ledru Rollin   34000 MONTPELLIER;c.hart@fondationface.org;;43,609213;3,872585;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
761;Fichier ESS;;FAMILLES RURALES (Fédération de l'Hérault);"455 rue de l'Industrie
Parc Mure n°6   34070 MONTPELLIER";direction.herault@familles rurales.org;;43,586612;3,885445;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
762;Fichier ESS;;Fédération des Entreprises d'Insertion Occitanie;Pôle REALIS 710 rue Favre de Saint Castor   34080 MONTPELLIER;president.occitanie@lesentreprisesdinsertion.org;;43,619814;3,823493;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
768;Fichier ESS;;ARRA Occitanie;Cité Paul Valéry 291 rue Hébert  34070 MONTPELLIER;presidence@radios-arra.fr;;43,598005;3,844983;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
777;Fichier ESS;;GRAINE LR;26 allée de Mycènes   34000 MONTPELLIER;jeanpaul.salasse@orange.fr;;43,609086;3,893508;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
